中文名,英文名,标准学名,科,属,资源状态,价值等级,价值外显命名,鱼单价/kg,期望单鱼价格,最大记录重量(kg),期望重量(kg),重量段,最大记录体长(cm),常见体长(cm),重量参数a,重量参数b,栖息带类型,深度下限(m),深度上限(m),资料水温下限(°C),资料水温上限(°C),最喜欢的温度(°C),食性（源表候选）,时段偏好,天气偏好,候选水温带,地域分布,性格,现实单价参考(元/kg),俄4映射鱼种,俄4映射类型,环境类型,迁徙类型,摄食类型,营养级,资料库体型,资料库捕获方式,体长口径,AI审核状态,匹配依据,源记录ID,飞书来源,快照日期,源表版本,Notion资料页
高体鳑鲏,Rosy Bitterling,Rhodeus Ocellatus,Acheilognathidae,Rhodeus,,2,常见,1168.5,38.06234779,0.08,0.02,T1,9.2,5.2,0.0262,2.93,benthopelagic,,,18,24,21,,全天活跃,晴间多云、微风；以天气稳定为先,温水,亚洲 and Europe,躲藏,30,黑尾叉牙七鳃鳗,近似种类比,"[""淡水"",""半咸水""]",,,,fusiform / normal,,SL,待人工审核,新增鱼种整合：台钓xlsx美术清单第36行；台钓xlsx策划清单第3行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIEUhR,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIEUhR,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681c7b599dd5600586634
鳜鱼,Mandarin Fish,Siniperca Chuatsi,Sinipercidae,Siniperca,,3,稀有,1752.8,6445.376803,8,1,T5,70,30,0.0103,3.105,benthopelagic,10,,4,22,13,"[""肉食性""]",全天活跃,晴间多云、微风；以天气稳定为先,广温,亚洲,追猎,70.11,鲽鱼,近似种类比,"[""淡水""]",,hunting macrofauna (predator),4.45,short and / or deep,,TL,待人工审核,新增鱼种整合：台钓xlsx美术清单第28行；台钓xlsx策划清单第44行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIbsH9,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIbsH9,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681ffa05eeb53119c59c8
翘嘴红鲌,Topmouth Culter,Culter Alburnus,Xenocyprididae,Culter,,2,常见,968.5,151.0299759,0.6,1.5,T1,92.8,28,0.0085,3.04,benthopelagic,,,11,19,15,"[""肉食性""]",早晨活跃,晴间多云、微风；以天气稳定为先,温水,亚洲,躲藏,30,青蛙,近似种类比,"[""淡水""]",,,,elongated,,FL,待人工审核,新增鱼种整合：台钓xlsx美术清单第27行；台钓xlsx策划清单第56行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIeBRp,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIeBRp,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681128773e8c87c8fccee
青鱼,Black Carp,Mylopharyngodon Piceus,Xenocyprididae,Mylopharyngodon,,1,普通,295.4,6758.836733,35,10,T11,180,12.2,0.0097,3.063,demersal,5,30,0,40,20,"[""肉食性""]",早晨活跃,晴间多云、微风；以天气稳定为先,温水,亚洲,撕鳍,30,黑鲩,同物种,"[""淡水"",""半咸水""]",potamodromous,hunting macrofauna (predator),3.19,fusiform / normal,seines,TL,待人工审核,新增鱼种整合：台钓xlsx美术清单第33行；台钓xlsx策划清单第76行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcILcBb,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcILcBb,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681218e14f2e569ac4444
青梢红鲌,Humpback,Culter Recurviceps,Xenocyprididae,Culter,,2,常见,1227.4,1203.56357,2.047,0.5,T2,54.6,30,0.00545,3.05,benthopelagic,,,17,27,22,,早晨活跃,晴间多云、微风；以天气稳定为先,温水,亚洲,躲藏,30,拉多加白鲑,近似种类比,"[""淡水""]",,,,elongated,,TL,待人工审核,新增鱼种整合：台钓xlsx美术清单第39行；台钓xlsx策划清单第20行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIo8KL,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIo8KL,2026-09-08,4987,https://app.notion.com/p/3d5a4137d2368139bea9d953ba845238
锦鲤,Koi,Cyprinus Rubrofuscus,Cyprinidae,Cyprinus,,1,普通,160.3,3274.741054,40.09,3,T10,120,31,0.0173,2.993,benthopelagic,0,29,3,35,19,"[""肉食性""]",早晨活跃,晴间多云、微风；以天气稳定为先,广温,欧亚大陆,孤僻,16.08,镜鲤,同物种,"[""淡水"",""半咸水""]",potamodromous,hunting macrofauna (predator),3.06,fusiform / normal,seines,TL,待人工审核,新增鱼种整合：台钓xlsx策划清单第61行；来源英文名与FishBase唯一精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIJS4j,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIJS4j,2026-09-08,4987,https://app.notion.com/p/3d5a4137d236813fbb03c0c09b86caae
罗非鱼,Nile Tilapia,Oreochromis Niloticus,Cichlidae,Oreochromis,,2,常见,841.6,2063.148151,4.324,0.6,T4,60,25,0.024,2.693,benthopelagic,0,20,13.5,33,23.25,"[""植食性""]",全天活跃,晴间多云、微风；以天气稳定为先,广温,Africa: naturally occurring in coastal rivers of Israel (Ref.,温和,30,短角大杜父鱼,近似种类比,"[""淡水"",""半咸水""]",potamodromous,browsing on substrate,2,fusiform / normal,seines,SL,待人工审核,新增鱼种整合：台钓xlsx美术清单第25行；台钓xlsx策划清单第34行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIjOcP,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIjOcP,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681549871e390404101f2
野生鲫鱼,Goldfish,Carassius Auratus,Cyprinidae,Carassius,,1,普通,508.1,456.7190884,1.2,0.25,T2,35,18,0.01049,3.14,,0,20,0,41,20.5,,早晨活跃,晴间多云、微风；以天气稳定为先,温水,亚洲,活泼,19.8,美洲真鰶,近似种类比,,,,,,,,待人工审核,新增鱼种整合：台钓xlsx美术清单第20行；台钓xlsx策划清单第14行；未取得FishBase唯一匹配，保留来源字段；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIlcYz,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIlcYz,2026-09-08,4987,https://app.notion.com/p/3d5a4137d236815eb1b6efd4c722adff
荷包红鲤,Wuyuan Red Carp,Cyprinus Carpio Var. Wuyuanensis,Cyprinidae,Cyprinus,,1,普通,192.7,3149.308053,2,0.5,T9,40,25,0.0173,2.993,,0,29,3,35,19,,早晨活跃,晴间多云、微风；以天气稳定为先,温水,欧亚大陆,活泼,16.08,普通鲤鱼,同物种,,,,,,,,待人工审核,新增鱼种整合：台钓xlsx策划清单第19行；未取得FishBase唯一匹配，保留来源字段；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIsM5N,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIsM5N,2026-09-08,4987,https://app.notion.com/p/3d5a4137d236816b9cc9cb0d1f6fb114
赤眼鳟,Barbel Chub,Squaliobarbus Curriculus,Xenocyprididae,Squaliobarbus,,2,常见,1158.9,757.6036004,1.603,0.8,T2,48.8,12.8,0.0019,3.166,benthopelagic,,,17,27,22,,早晨活跃,晴间多云、微风；以天气稳定为先,温水,亚洲,躲藏,30,银鲷鱼,近似种类比,"[""淡水"",""半咸水""]",,,,elongated,,TL,待人工审核,新增鱼种整合：台钓xlsx美术清单第41行；台钓xlsx策划清单第35行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIt6Bv,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIt6Bv,2026-09-08,4987,https://app.notion.com/p/3d5a4137d236818f8d33fe60d163aab2
革胡子鲶,African Sharptooth Catfish,Clarias Gariepinus,Clariidae,Clarias,,2,常见,748.2,24455.75802,60,2,T11,170,90,0.016,2.88,benthopelagic,0,80,8,35,21.5,"[""肉食性""]",夜间活跃,阴天、小雨或低光照；以天气稳定为先,广温,Africa: almost Pan-African (Ref.,孤僻,30,大鳞麻哈鱼,近似种类比,"[""淡水""]",potamodromous,hunting macrofauna (predator),3.76,elongated,gillnets,TL,待人工审核,新增鱼种整合：台钓xlsx策划清单第53行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIcY73,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIcY73,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681c3a84ac5e92b0b02fc
花骨鱼,Spotted Steed,Hemibarbus Maculatus,Gobionidae,Hemibarbus,,2,常见,1227.4,1203.56357,1.7,0.6,T2,47,26,0.006,3.103,benthopelagic,,,10,24,17,"[""肉食性""]",全天活跃,晴间多云、微风；以天气稳定为先,温水,亚洲,追猎,30,拉多加白鲑,近似种类比,"[""淡水""]",,hunting macrofauna (predator),3.45,fusiform / normal,,TL,待人工审核,新增鱼种整合：台钓xlsx策划清单第21行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIimdw,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIimdw,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681c892bedb98c9dc6f06
镜鲤,Mirror Carp,Cyprinus Carpio Var. Specularis,Cyprinidae,Cyprinus,,1,普通,160.3,3274.741054,40.09,1.2,T10,120,31,0.0173,2.993,benthopelagic,0,29,3,35,19,"[""肉食性""]",早晨活跃,晴间多云、微风；以天气稳定为先,广温,欧亚大陆,撕鳍,16.08,镜鲤,同物种,"[""淡水"",""半咸水""]",potamodromous,hunting macrofauna (predator),3.06,fusiform / normal,seines,TL,待人工审核,新增鱼种整合：台钓xlsx美术清单第13行；台钓xlsx策划清单第59行；来源英文名与FishBase唯一精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIysR0,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIysR0,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681d9ae74f961b81f4578
蒙古红鲌,Mongolian Redfin,Chanodichthys Mongolicus,Xenocyprididae,Chanodichthys,,3,稀有,1840.6,3760.129996,4,0.8,T3,100,40,0.0107,3.04,benthopelagic,,,10,20,15,"[""肉食性""]",早晨活跃,晴间多云、微风；以天气稳定为先,温水,亚洲,躲藏,30,蒙古红鲌,同物种,"[""淡水""]",,,,fusiform / normal,,SL,待人工审核,新增鱼种整合：台钓xlsx美术清单第40行；台钓xlsx策划清单第32行；来源英文名与FishBase唯一精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcICsUd,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcICsUd,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681e3981bdbeb9c547e0a
蓝鲨,Iridescent Shark,Pangasianodon Hypophthalmus,Pangasiidae,Pangasianodon,,2,常见,935,19100.95375,44,5,T10,130,60,0.0227,2.75,benthopelagic,,,22,26,24,"[""肉食性""]",全天活跃,晴间多云、微风；以天气稳定为先,暖水,亚洲,撕鳍,30,蓝魣鳕,近似种类比,"[""淡水""]",potamodromous,hunting macrofauna (predator),3.12,elongated,,SL,待人工审核,新增鱼种整合：台钓xlsx策划清单第67行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIHj3r,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIHj3r,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681eba3d0cbb372e49e37
长吻𬶏,Chinese Longsnout Catfish,"Tachysurus dumerili (Bleeker, 1864)",Bagridae,Tachysurus,,2,常见,1004.4,2462.245725,4.803,1.5,T4,80.4,50,0.01072,2.93,demersal,,,11,19,15,,全天活跃,晴间多云、微风；以天气稳定为先,温水,亚洲,孤僻,30,Tachysurus dumerili,近似种类比,"[""淡水"",""半咸水""]",,,3.9,elongated,hooks_and_lines,TL,待人工审核,FishBase Tachysurus dumerili (ID 50980); 长吻𬶏 中文俗名精确匹配; 淡水底栖温带; 原属Leiocassis longirostris已修订为Tachysurus dumerili,recvq6YNcIHOxR,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIHOxR,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681efb88bc4102b879d57
细鳞鲑,Sharp Snouted Lenok,Brachymystax Lenok,Salmonidae,Brachymystax,,2,常见,792,3559.51891,8,1,T5,70,55,0.00536,3.172,benthopelagic,,,11,19,15,"[""肉食性""]",晨昏活跃,多云、小雨或微风；避免强烈正午光照,冷水,亚洲,追猎,150,细鳞鲑,同物种,"[""淡水""]",anadromous,hunting macrofauna (predator),3.76,fusiform / normal,,TL,待人工审核,新增鱼种整合：台钓xlsx美术清单第9行；台钓xlsx策划清单第36行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIoSVf,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIoSVf,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681fda9e6dd18a31ff631
红罗非,Red Tilapia,Oreochromis Sp. (hybrid),Cichlidae,Oreochromis,,2,常见,1004.4,2462.245725,5,0.8,T4,55,30,0.0366,2.844,,,,20,35,27.5,,全天活跃,晴间多云、微风；以天气稳定为先,暖水,Africa: naturally occurring in coastal rivers of Israel (Ref.,活泼,30,斑点雀鳝,近似种类比,,,,,,,,待人工审核,新增鱼种整合：台钓xlsx美术清单第10行；台钓xlsx策划清单第41行；未取得FishBase唯一匹配，保留来源字段；规则FISH-INVENTORY-MERGE-R1,recvq6YNcINNjg,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcINNjg,2026-09-08,4987,https://app.notion.com/p/3d5a4137d236810aad77c5e50cfd3852
斑鳜,Spotted Mandarin Fish,Siniperca Scherzeri,Sinipercidae,Siniperca,,2,常见,1004.4,532.6915689,0.607,0.4,T2,37.4,16.9,0.0067,3.18,benthopelagic,,,11,19,15,"[""肉食性""]",全天活跃,晴间多云、微风；以天气稳定为先,温水,亚洲,躲藏,30,太阳鱼,近似种类比,"[""淡水"",""半咸水""]",,,,fusiform / normal,,TL,待人工审核,新增鱼种整合：台钓xlsx美术清单第4行；台钓xlsx策划清单第17行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcILFwW,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcILFwW,2026-09-08,4987,https://app.notion.com/p/3d5a4137d2368112adc4fd51f802a34e
淡水白鲳,Red-bellied Pacu,Piaractus Brachypomus,Serrasalmidae,Piaractus,,2,常见,788.8,9346.270313,25,1.5,T8,88,35,0.02891,3.116,pelagic,,,23,28,25.5,"[""植食性""]",全天活跃,晴间多云、微风；以天气稳定为先,暖水,南美洲,温和,30,大西洋狼鳚,近似种类比,"[""淡水""]",,other,2.52,short and / or deep,other,TL,待人工审核,新增鱼种整合：台钓xlsx策划清单第51行；来源学名与FishBase属种精确匹配；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIhhiO,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIhhiO,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681219802fed2dd084aa1
沙塘鳢,Dark Sleeper,Odontobutis Obscura,Odontobutidae,Odontobutis,,2,常见,968.5,151.0299759,0.5,0.1,T1,30,15,0.0063,3.298,,,,11,19,15,,全天活跃,晴间多云、微风；以天气稳定为先,温水,亚洲,躲藏,30,青蛙,近似种类比,,,,,,,,待人工审核,新增鱼种整合：台钓xlsx策划清单第9行；未取得FishBase唯一匹配，保留来源字段；规则FISH-INVENTORY-MERGE-R1,recvq6YNcI8WeG,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcI8WeG,2026-09-08,4987,https://app.notion.com/p/3d5a4137d23681368fa0ddc975a6592c
海鲈,Japanese Seabass,Lateolabrax Maculatus,Lateolabracidae,Lateolabrax,,4,珍稀,3272.4,24066.46628,15,4,T7,120,70,0.00682,3.151,,5,,17.4,27.4,22.4,,晨昏活跃,多云、小雨或微风；避免强烈正午光照,温水,西太平洋,活泼,150,北海平鲉,近似种类比,,,,,,,,待人工审核,新增鱼种整合：台钓xlsx策划清单第65行；未取得FishBase唯一匹配，保留来源字段；规则FISH-INVENTORY-MERGE-R1,recvq6YNcIxBzV,https://pisn3u3ony2.feishu.cn/base/P9rTbUTARaE1GasZp3rctaoungb?table=tblBWCSfMnN13524&view=vewiU8a1wj&record=recvq6YNcIxBzV,2026-09-08,4987,https://app.notion.com/p/3d5a4137d236815ca4d0f6b507aa92e0
